,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
32,Coastal Carolina,Q1 5:30,1,10,Rush,80,3,Jevon Edwards run for 3 yds to the CCU 23,401778325101946901,0,0
33,Coastal Carolina,Q1 4:50,2,7,Penalty,77,15,"PENALTY LATECH pass interference 15 yards to the COASTALCAR38, NO PLAY, 1ST DOWN COASTALCAR.",401778325101954902,0,0
34,Coastal Carolina,Q1 4:40,1,10,Rush,62,5,Jevon Edwards run for 5 yds to the CCU 43,401778325101955901,0,0
35,Coastal Carolina,Q1 4:26,2,5,Rush,57,-1,Jevon Edwards run for a loss of 1 yard to the CCU 42,401778325101957301,0,0
36,Coastal Carolina,Q1 3:45,3,6,Pass Reception,58,21,Tad Hudson pass complete to Bryson Graves for 21 yds to the LT 37 for a 1ST down,401778325101965401,0,0
37,Coastal Carolina,Q1 3:0,1,10,Pass Reception,37,15,Tad Hudson pass complete to Zach Courtney for 15 yds to the LT 22 for a 1ST down,401778325101969901,0,0
38,Coastal Carolina,Q1 2:30,1,10,Rush,22,1,Breyahn Townsend run for 1 yd to the LT 21,401778325101976901,0,0
39,Coastal Carolina,Q1 2:5,2,9,Pass Reception,21,6,Tad Hudson pass complete to Robby Washington for 6 yds to the LT 15,401778325101979401,0,0
40,Coastal Carolina,Q1 1:39,3,3,Penalty,15,-5,"Coastal Carolina Penalty, False Start (-5 Yards) to the LT 20",401778325101986001,0,0
41,Coastal Carolina,Q1 1:12,3,8,Passing Touchdown,20,20,Tad Hudson pass complete to Dominic Knicely for 20 yds for a TD (Kian Afrookhteh KICK),401778325101988701,7,0
42,Coastal Carolina,Q1 1:12,3,0,Penalty,3,-10,"PENALTY COASTALCAR holding 10 yards to the LATECH13, NO PLAY.",401778325101988702,0,0
43,Louisiana Tech,Q1 1:12,3,18,Kickoff,65,-65,Philippe Laforge kickoff for 65 yds for a touchback,401778325101988704,7,0
44,Louisiana Tech,Q1 1:12,3,18,Touchback,0,25,Philippe Laforge kickoff for 65 yds for a touchback,401778325101988704,7,0
45,Louisiana Tech,Q1 1:0,1,10,Rush,25,16,"Clay Thevenin run for 1 yd to the LT 26 for a 1ST down Coastal Carolina Penalty, Personal Foul (15 Yards) to the LT 41 for a 1ST down",401778325101989901,0,7
46,Louisiana Tech,Q1 0:45,1,10,Pass Incompletion,41,0,Trey Kukuk pass incomplete,401778325101995401,0,7
47,Louisiana Tech,Q1 0:30,2,10,Rush,41,3,Trey Kukuk run for 3 yds to the LT 44,401778325101996901,0,7
48,Louisiana Tech,Q1 0:0,3,7,Pass Reception,44,10,Trey Kukuk pass complete to Clay Thevenin for 10 yds to the CCU 46 for a 1ST down,401778325101999901,0,7
49,Louisiana Tech,Q1 0:0,0,7,End Period,44,10,End of 1st Quarter,401778325101999902,0,7
50,Louisiana Tech,Q2 14:50,1,10,Rush,54,4,Andrew Burnette run for 4 yds to the CCU 42,401778325102854901,0,7
51,Louisiana Tech,Q2 14:30,2,6,Rush,58,-2,Andrew Burnette run for a loss of 2 yards to the CCU 44,401778325102856901,0,7
52,Louisiana Tech,Q2 14:30,3,8,Pass Incompletion,56,0,Trey Kukuk pass incomplete to Eli Finley,401778325102856902,0,7
53,Louisiana Tech,Q2 14:30,4,8,Punt,56,39,"John Hoyet Chance punt for 39 yds , Bryson Graves returns for 1 yd to the CCU 6",401778325102856903,0,7
54,Coastal Carolina,Q2 14:30,4,8,Punt Return,95,1,"John Hoyet Chance punt for 39 yds , Bryson Graves returns for 1 yd to the CCU 6",401778325102856903,0,7
55,Coastal Carolina,Q2 13:20,1,10,Pass Reception,94,15,Tad Hudson pass complete to Zach Courtney for 15 yds to the CCU 21 for a 1ST down,401778325102867901,7,0
56,Coastal Carolina,Q2 13:5,1,10,Pass Reception,79,18,Tad Hudson pass complete to Zach Courtney for 18 yds to the CCU 39 for a 1ST down,401778325102869401,7,0
57,Coastal Carolina,Q2 12:58,1,10,Penalty,61,-5,"Coastal Carolina Penalty, False Start (-5 Yards) to the CCU 34",401778325102874101,7,0
58,Coastal Carolina,Q2 12:35,1,15,Rush,66,2,Ja'Vin Simpkins run for 2 yds to the CCU 36,401778325102876401,7,0
59,Coastal Carolina,Q2 11:57,2,13,Penalty,64,-10,"PENALTY COASTALCAR holding 10 yards to the COASTALCAR26, NO PLAY.",401778325102884201,7,0
60,Coastal Carolina,Q2 11:40,2,23,Pass Reception,74,2,Tad Hudson pass complete to Bryson Graves for 2 yds to the CCU 28,401778325102885901,7,0
61,Coastal Carolina,Q2 11:2,3,21,Pass Incompletion,72,0,Tad Hudson pass incomplete to Malcolm Gillie,401778325102889701,7,0
62,Coastal Carolina,Q2 10:47,4,21,Punt,72,53,"Emile Sebafundi punt for 53 yds , Dedrick Latulas returns for 21 yds to the LT 49 Louisiana Tech Penalty, Offensive Holding (10 Yards) to the LT 30",401778325102895201,7,0
63,Louisiana Tech,Q2 10:47,4,21,Punt Return,19,21,"Emile Sebafundi punt for 53 yds , Dedrick Latulas returns for 21 yds to the LT 49 Louisiana Tech Penalty, Offensive Holding (10 Yards) to the LT 30",401778325102895201,7,0
64,Louisiana Tech,Q2 10:40,1,10,Rush,30,1,Andrew Burnette run for 1 yd to the LT 31,401778325102895901,0,7
65,Louisiana Tech,Q2 10:10,2,9,Pass Incompletion,31,0,Trey Kukuk pass incomplete to Tre Averhart,401778325102898901,0,7
66,Louisiana Tech,Q2 9:50,3,9,Rush,31,3,Trey Kukuk run for 3 yds to the LT 34,401778325102904901,0,7
67,Louisiana Tech,Q2 9:21,4,6,Punt,34,54,"John Hoyet Chance punt for 54 yds , Bryson Graves returns for a loss of 3 yards to the CCU 9",401778325102907801,0,7
